year,competition_id,url,http_status,competition_name,start_date,end_date,location,fetched_at_utc,probe_error
2025,36402,https://ijs.usfigureskating.org/leaderboard/results/2025/36402/index.asp,200,2025 Essex Synchronized Skating Classic,11/15/2025,11/15/2025,"West Orange, NJ",2026-05-11T16:39:49+00:00,
2025,36406,https://ijs.usfigureskating.org/leaderboard/results/2025/36406/index.asp,200,2025 Mile High Synchro Classic,12/12/2025,12/14/2025,"Highlands Ranch, CO",2026-05-11T16:39:50+00:00,
2025,36413,https://ijs.usfigureskating.org/leaderboard/results/2025/36413/index.asp,200,2025 Connecticut High School Classic,10/11/2025,10/11/2025,"West Hartford, CT",2026-05-11T16:39:52+00:00,
2025,36430,https://ijs.usfigureskating.org/leaderboard/results/2025/36430/index.asp,200,2025 Stars And Stripes Synchro Invitation,11/01/2025,11/01/2025,"Woodbridge, VA",2026-05-11T16:39:55+00:00,
2025,36432,https://ijs.usfigureskating.org/leaderboard/results/2025/36432/index.asp,200,2025 Spooktacular,10/11/2025,10/11/2025,"Lakewood, CA",2026-05-11T16:39:56+00:00,
2025,36436,https://ijs.usfigureskating.org/leaderboard/results/2025/36436/index.asp,200,Desert Ice Open Competition 2025,11/14/2025,11/16/2025,Las Vegas Nevada,2026-05-11T16:39:57+00:00,
2025,36440,https://ijs.usfigureskating.org/leaderboard/results/2025/36440/index.asp,200,2025 Autumn Antics,11/16/2025,11/16/2025,"Peoria, AZ",2026-05-11T16:39:58+00:00,
2025,36456,https://ijs.usfigureskating.org/leaderboard/results/2025/36456/index.asp,200,2025 Holiday Classic Figure Skating Competition,11/21/2025,11/22/2025,"ICON Sports Center, Grand Forks, ND",2026-05-11T16:40:01+00:00,
2025,36459,https://ijs.usfigureskating.org/leaderboard/results/2025/36459/index.asp,200,29th Porter Classic,12/05/2025,12/07/2025,"Ann Arbor, MI",2026-05-11T16:40:02+00:00,
2025,36460,https://ijs.usfigureskating.org/leaderboard/results/2025/36460/index.asp,200,2025 Terry Conners Open,12/06/2025,12/07/2025,"Stamford, CT",2026-05-11T16:40:02+00:00,
2025,36463,https://ijs.usfigureskating.org/leaderboard/results/2025/36463/index.asp,200,2025 Capital Ice Synchro Classic,11/02/2025,11/02/2025,"Bismarck, ND",2026-05-11T16:40:03+00:00,
2025,36464,https://ijs.usfigureskating.org/leaderboard/results/2025/36464/index.asp,200,2025 Autumn Skate Fest,10/31/2025,11/02/2025,"Burnsville, MN",2026-05-11T16:40:03+00:00,
